,line,price,from,to,trans,min,lat,lng
266,湘南新宿ライン高海,9.0,戸塚,渋谷,0,41,35.4006131,139.5342406
267,湘南新宿ライン高海,9.2,大船,渋谷,0,46,35.3540475,139.5312989
268,湘南新宿ライン高海,9.9,藤沢,渋谷,0,52,35.3388984,139.4874695
269,湘南新宿ライン高海,8.3,辻堂,渋谷,0,56,35.3368951,139.4470874
270,東京メトロ銀座線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
271,東京メトロ銀座線,19.6,稲荷町,渋谷,0,29,35.7113443,139.7826841
272,東京メトロ銀座線,19.8,田原町,渋谷,0,31,35.7098833,139.7907335
273,東京メトロ銀座線,18.0,浅草,渋谷,0,33,35.7107924,139.7977621
274,東京メトロ丸ノ内線,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
275,東京メトロ丸ノ内線,18.6,新大塚,渋谷,1,19,35.7258009,139.7298975
276,東京メトロ丸ノ内線,18.8,中野坂上,渋谷,0,40,35.6970686,139.6821613
277,東京メトロ丸ノ内線,18.2,中野新橋,渋谷,1,19,35.691958,139.673746
278,東京メトロ丸ノ内線,17.3,中野富士見町,渋谷,0,47,35.6905196,139.6669336
279,東京メトロ丸ノ内線,16.5,方南町,渋谷,0,41,35.6834707,139.6574453
280,東京メトロ丸ノ内線,17.3,新中野,渋谷,0,51,35.6974924,139.6689374
281,東京メトロ丸ノ内線,17.6,東高円寺,渋谷,0,50,35.698027,139.6579834
282,東京メトロ丸ノ内線,17.2,新高円寺,渋谷,0,50,35.697845,139.64847
283,東京メトロ丸ノ内線,17.3,南阿佐ケ谷,渋谷,0,53,35.699456,139.6355541
284,東京メトロ丸ノ内線,15.5,荻窪,渋谷,1,20,35.7044977,139.6190582
285,東京メトロ日比谷線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
286,東京メトロ日比谷線,17.8,入谷,渋谷,1,37,35.7208778,139.7846947
287,東京メトロ日比谷線,15.7,三ノ輪,渋谷,1,39,35.7296256,139.7913624
